"d_pres_fav","r_pres_fav","vt_pres_2","vt_pres_4","vt_sen","vt_gov","likely","scale","partyid","sample","phoneuse","gender","educ","hisp","cuban","race","age","racer","turnout_score","turnout_class","region","rvweight","likelyyn","lvweight","file_race","file_party","file_county","file_age","state","poll","poll_id","file_vt16","file_vt14","file_vt12"
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat",NA,"Very likely","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Female","Some college or trade school","No",NA,"Caucasian/White",NA,"Caucasian/White",0.718902333,"Middle","Bay Area",0.786610841751099,1,0.676053605131223,"White","Other","Pinellas",28,"Florida","September","Florida September",1,1,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Democrat","Cell","Landline and Cell Phone","Female","Some college or trade school","No",NA,"Caucasian/White",NA,"Caucasian/White",0.995393687,"High","Bay Area",1.00695979595184,1,1.00464060944908,"White","Democratic","Pinellas",55,"Florida","September","Florida September",1,1,1
"Unfavorable","Unfavorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican",NA,"Very likely","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Male","Graduate or Professional degree","Yes","Other (Specify)","African American/Black",NA,"Hispanic/Latino",0.833448187,"Middle","Southeast",0.66024374961853,1,0.60526135318821,"Other","Republican","Broward",55,"Florida","September","Florida September",0,0,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Marco Rubio, the Republican",NA,"Very likely","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Male","Bachelors' degree","No",NA,"African American/Black",NA,"African American/Black",0.643999223,"Middle","Bay Area",0.747704982757568,1,0.614613205717188,"Black","Other","Hillsborough",27,"Florida","September","Florida September",1,0,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat",NA,"Almost certain","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Male","Graduate or Professional degree","No",NA,"Caucasian/White",NA,"Caucasian/White",0.806886432,"Middle","Southeast",0.790951013565063,1,0.714579327393681,"White","Democratic","Palm Beach",38,"Florida","September","Florida September",1,1,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Female","Bachelors' degree","No",NA,"[DO NOT READ] Other/Something else (specify)",NA,"[DO NOT READ] Other/Something else (specify)",0.989776638,"High","Central",1.14250636100769,1,1.13666623294975,"Other","Republican","Martin",48,"Florida","September","Florida September",1,1,1
"[DO NOT READ] Don't know/No opinion","Unfavorable","[DO NOT READ] Won't vote","Jill Stein, the Green Party candidate","Marco Rubio, the Republican",NA,"Somewhat likely","One (definitely will NOT vote)","Independent (No party)","Cell","Landline and Cell Phone","Male","High school","No",NA,"African American/Black",NA,"African American/Black",0.217365658,"Low","Southeast",1.5432163476944,0,0.167721118426475,"Black","Democratic","Miami-Dade",39,"Florida","September","Florida September",0,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Gary Johnson, the Libertarian","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Male","Some college or trade school","Yes","[DO NOT READ] Refused","[DO NOT READ] Refused",NA,"Hispanic/Latino",0.684320354,"Middle","North/Panhandle",0.752387583255768,1,0.63363086028728,"White","Republican","Gilchrist",30,"Florida","September","Florida September",1,0,1
"Favorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican",NA,"Very likely","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Female","Grade school","No",NA,"Caucasian/White",NA,"Caucasian/White",0.294264438,"Low","North/Panhandle",1.48078107833862,1,0.958261145078486,"White","Republican","Escambia",70,"Florida","September","Florida September",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","[DO NOT READ] Don't know/No opinion",NA,"Almost certain","Ten (definitely will vote)","Independent (No party)","Cell","Landline and Cell Phone","Male","Graduate or Professional degree","No",NA,"Caucasian/White",NA,"Caucasian/White",0.798254812,"Middle","Central",1.04397249221802,1,0.938664278863341,"White","Republican","Volusia",56,"Florida","September","Florida September",1,0,0
"Unfavorable","Favorable","[DO NOT READ] Won't vote","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion",NA,"Somewhat likely","Nine","Democrat","Landline","Landline only","Female","High school","No",NA,"African American/Black",NA,"African American/Black",0.995501143,"High","North/Panhandle",0.982421696186066,1,0.980211808332435,"Black","Democratic","Duval",71,"Florida","September","Florida September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Male","Bachelors' degree","No",NA,"Caucasian/White",NA,"Caucasian/White",0.989630415,"High","Southwest",0.846516013145447,1,0.842127002846102,"White","Republican","Sarasota",28,"Florida","September","Florida September",0,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Male","Some college or trade school","No",NA,"Caucasian/White",NA,"Caucasian/White",0.995443291,"High","Central",1.3606059551239,1,1.35750601310362,"White","Republican","Sumter",73,"Florida","September","Florida September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Male","Graduate or Professional degree","No",NA,"Caucasian/White",NA,"Caucasian/White",0.785990014,"Middle","Southeast",0.896095931529999,1,0.800209192649303,"White","Republican","Broward",49,"Florida","September","Florida September",1,0,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican",NA,"Very likely","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Female","Some college or trade school","No",NA,"Caucasian/White",NA,"Caucasian/White",0.991811793,"High","Southeast",1.40021860599518,1,1.39448596679972,"White","Republican","Palm Beach",75,"Florida","September","Florida September",1,1,1
"Unfavorable","Unfavorable","[DO NOT READ] Someone else (specify)","Gary Johnson, the Libertarian","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","or as a member of another political party","Cell","Cell Phone only","Male","Some college or trade school","No",NA,"Caucasian/White",NA,"Caucasian/White",0.98947597,"High","North/Panhandle",0.932118773460388,1,0.927213950492658,"White","Republican","Okaloosa",39,"Florida","September","Florida September",1,1,1
"Favorable","Unfavorable","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Patrick Murphy, the Democrat",NA,"Very likely","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Male","High school","No",NA,"African American/Black",NA,"African American/Black",0.320165286,"Low","North/Panhandle",0.989181280136108,1,0.652941393798366,"Black","Democratic","Columbia",28,"Florida","September","Florida September",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","[DO NOT READ] Don't know/No opinion",NA,"Somewhat likely","Six","Independent (No party)","Landline","Landline and Cell Phone","Male","Bachelors' degree","No",NA,"Caucasian/White",NA,"Caucasian/White",0.220200355,"Low","Southwest",1.07843923568726,0,0.118736350732912,"White","Other","Lee",58,"Florida","September","Florida September",0,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion",NA,"Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Female","Bachelors' degree","No",NA,"Caucasian/White",NA,"Caucasian/White",0.938395045,"High","Central",1.0182671546936,1,0.986902003063031,"Other","Other","Brevard",75,"Florida","September","Florida September",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat",NA,"Somewhat likely","Seven","Independent (No party)","Landline","Landline and Cell Phone","Female","Bachelors' degree","No",NA,"Caucasian/White",NA,"Caucasian/White",0.720476895,"Middle","Bay Area",0.939129233360291,0,0.338310457497141,"White","Other","Pinellas",42,"Florida","September","Florida September",1,0,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat",NA,"Almost certain","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Female","Some college or trade school","No",NA,"Caucasian/White",NA,"Caucasian/White",0.991387001,"High","Southwest",0.93467253446579,1,0.930647367196113,"White","Democratic","Charlotte",69,"Florida","September","Florida September",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat",NA,"Almost certain","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Male","Some college or trade school","No",NA,"Caucasian/White",NA,"Caucasian/White",0.915793616,"High","Southeast",0.820750415325165,1,0.78619420300465,"White","Democratic","Palm Beach",19,"Florida","September","Florida September",1,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat",NA,"Almost certain","Ten (definitely will vote)","Democrat","Cell","Landline and Cell Phone","Female","Bachelors' degree","No",NA,"Caucasian/White",NA,"Caucasian/White",0.931161138,"High","Southwest",0.93467253446579,1,0.902501637658149,"White","Democratic","Lee",77,"Florida","September","Florida September",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Female","Bachelors' degree","No",NA,"Caucasian/White",NA,"Caucasian/White",0.74611212,"Middle","North/Panhandle",0.864932119846344,1,0.755134228720497,"White","Republican","Duval",80,"Florida","September","Florida September",0,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat",NA,"Almost certain","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Female","Some college or trade school","No",NA,"African American/Black",NA,"African American/Black",0.926899315,"High","Southeast",1.22029089927673,1,1.17568884834839,"Black","Democratic","Broward",52,"Florida","September","Florida September",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican",NA,"Very likely","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Female","Graduate or Professional degree","No",NA,"[DO NOT READ] Other/Something else (specify)",NA,"[DO NOT READ] Other/Something else (specify)",0.571184499,"Middle","Central",0.857217371463776,1,0.673423323587313,"Other","Other","Orange",39,"Florida","September","Florida September",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican",NA,"Somewhat likely","Five","Republican","Cell","Cell Phone only","Female","Bachelors' degree","No",NA,"Caucasian/White",NA,"Caucasian/White",0.55289792,"Middle","Central",1.16343915462494,0,0.321631544319344,"White","Other","St Lucie",31,"Florida","September","Florida September",1,0,0
"Unfavorable","Unfavorable","[DO NOT READ] Someone else (specify)","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion",NA,"Almost certain","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Female","High school","Yes","Other (Specify)","[DO NOT READ] Other/Something else (specify)",NA,"Hispanic/Latino",0.574203085,"Middle","North/Panhandle",0.62942510843277,1,0.49542147342095,"Hispanic","Democratic","Duval",33,"Florida","September","Florida September",0,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Female","Some college or trade school","Yes","Puerto Rican","Caucasian/White",NA,"Hispanic/Latino",0.302311081,"Low","Central",1.44701588153839,1,0.942232409178723,"Hispanic","Other","St Lucie",18,"Florida","September","Florida September",1,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Male","High school","Yes","Cuban","Caucasian/White",NA,"Hispanic/Latino",0.601743326,"Middle","Southeast",0.558780431747437,1,0.447511413625428,"Other","Democratic","Hendry",65,"Florida","September","Florida September",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Male","Graduate or Professional degree","Yes","Other (Specify)","Caucasian/White",NA,"Hispanic/Latino",0.620702725,"Middle","Bay Area",0.730893313884735,1,0.592280392383189,"Hispanic","Republican","Polk",54,"Florida","September","Florida September",1,0,0
"[DO NOT READ] Don't know/No opinion","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat",NA,"Almost certain","Ten (definitely will vote)","Democrat","Cell","Landline and Cell Phone","Male","Some college or trade school","No",NA,"[DO NOT READ] Other/Something else (specify)",NA,"[DO NOT READ] Other/Something else (specify)",0.599954788,"Middle","Central",1.0501424074173,1,0.840090186414576,"Black","Democratic","St Lucie",44,"Florida","September","Florida September",1,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat",NA,"Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline only","Male","High school","Yes","[DO NOT READ] Refused","Caucasian/White",NA,"Hispanic/Latino",0.230135383,"Low","Central",1.66134691238403,1,1.02184081101137,"White","Other","St Lucie",44,"Florida","September","Florida September",1,0,0
"Favorable","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Someone else (specify)","[DO NOT READ] Don't know/No opinion","Marco Rubio, the Republican",NA,"Almost certain","Eight","Independent (No party)","Cell","Cell Phone only","Male","Some college or trade school","No",NA,"African American/Black",NA,"African American/Black",0.302311081,"Low","Southeast",1.29259359836578,0,0.195382684654117,"Black","Democratic","Broward",18,"Florida","September","Florida September",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Male","Graduate or Professional degree","No",NA,"Caucasian/White",NA,"Caucasian/White",0.659582559,"Middle","Bay Area",0.713929355144501,1,0.592412352721001,"White","Other","Pinellas",60,"Florida","September","Florida September",1,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat",NA,"Very likely","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Female","Some college or trade school","No",NA,"African American/Black",NA,"African American/Black",0.590184986,"Middle","North/Panhandle",0.692726492881775,1,0.550781634192517,"Black","Democratic","Leon",19,"Florida","September","Florida September",1,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat",NA,"Very likely","Seven","Democrat","Cell","Cell Phone only","Female","High school","No",NA,"African American/Black",NA,"African American/Black",0.583091125,"Middle","Southeast",1.08071625232697,0,0.315078027147199,"Black","Democratic","Broward",30,"Florida","September","Florida September",1,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Marco Rubio, the Republican",NA,"Somewhat likely","Seven","[DO NOT READ] Refused","Cell","Landline and Cell Phone","Male","High school","No",NA,"African American/Black",NA,"African American/Black",0.590184986,"Middle","Southeast",0.514042258262634,0,0.151690011498071,"Other","Other","Broward",19,"Florida","September","Florida September",0,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Democrat","Landline","Landline only","Female","Some college or trade school","Yes","Puerto Rican","Caucasian/White",NA,"Hispanic/Latino",0.935957761,"High","Central",1.08197140693665,1,1.04732547176053,"Hispanic","Democratic","Orange",64,"Florida","September","Florida September",1,0,0
"Unfavorable","Unfavorable","[DO NOT READ] Don't know/No opinion","Gary Johnson, the Libertarian","Patrick Murphy, the Democrat",NA,"Not at all likely","One (definitely will NOT vote)","Independent (No party)","Cell","Cell Phone only","Female","Some college or trade school","No",NA,"Caucasian/White",NA,"Caucasian/White",0.583091125,"Middle","Central",1.16343915462494,0,0.339195522187933,"White","Other","Volusia",30,"Florida","September","Florida September",0,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Male","Some college or trade school","Yes","Cuban","Caucasian/White",NA,"Hispanic/Latino",0.584815518,"Middle","Southeast",0.714249491691589,1,0.565976839078221,"Hispanic","Republican","Broward",26,"Florida","September","Florida September",1,0,0
"Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Female","Bachelors' degree","Yes","Other (Specify)","[DO NOT READ] Refused",NA,"Hispanic/Latino",0.587404349,"Middle","Southeast",0.616300761699677,1,0.48915925501519,"Other","Other","Palm Beach",28,"Florida","September","Florida September",0,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat",NA,"Very likely","Ten (definitely will vote)","Democrat","Cell","Landline and Cell Phone","Male","Graduate or Professional degree","No",NA,"African American/Black",NA,"African American/Black",0.961821842,"High","North/Panhandle",0.778904914855957,1,0.764036337402783,"Black","Democratic","Duval",47,"Florida","September","Florida September",1,0,1
"Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat",NA,"Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Female","Bachelors' degree","No",NA,"Caucasian/White",NA,"Caucasian/White",0.993668722,"High","Central",1.36868512630463,1,1.36435236329008,"White","Democratic","Marion",38,"Florida","September","Florida September",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","Patrick Murphy, the Democrat",NA,"Almost certain","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Male","Bachelors' degree","Yes","Other (Specify)","Caucasian/White",NA,"Hispanic/Latino",0.882821697,"High","Southeast",0.711864590644836,1,0.670157047940128,"Hispanic","Democratic","Broward",26,"Florida","September","Florida September",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion",NA,"Almost certain","Ten (definitely will vote)","Democrat","Landline","Landline only","Female","Grade school","Yes","Other (Specify)","Caucasian/White",NA,"Hispanic/Latino",0.933614812,"High","Southeast",1.02888810634613,1,0.994736641160754,"Hispanic","Other","Miami-Dade",75,"Florida","September","Florida September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Republican","Cell","Landline and Cell Phone","Male","Bachelors' degree","No",NA,"Caucasian/White",NA,"Caucasian/White",0.219214432,"Low","Southeast",1.40985560417175,1,0.85945814982114,"White","Republican","Broward",26,"Florida","September","Florida September",0,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Cell Phone only","Male","Some college or trade school","No",NA,"Caucasian/White",NA,"Caucasian/White",0.990641181,"High","Central",1.29334890842438,1,1.28729679990216,"White","Republican","Brevard",56,"Florida","September","Florida September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Patrick Murphy, the Democrat",NA,"Not very likely","Six","Democrat","Cell","Landline and Cell Phone","Female","Graduate or Professional degree","Yes","[DO NOT READ] Refused","Caucasian/White",NA,"Hispanic/Latino",0.283139101,"Low","Southeast",1.68635201454163,0,0.238736097526603,"Black","Democratic","Broward",48,"Florida","September","Florida September",1,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat",NA,"Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Male","Graduate or Professional degree","No",NA,"African American/Black",NA,"African American/Black",0.953617149,"High","Southeast",1.07185387611389,1,1.04699605733504,"Black","Other","Broward",51,"Florida","September","Florida September",1,1,1
"Unfavorable","Unfavorable","[DO NOT READ] Someone else (specify)","[DO NOT READ] Don't know/No opinion","Patrick Murphy, the Democrat",NA,"Almost certain","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Female","Bachelors' degree","No",NA,"Caucasian/White",NA,"Caucasian/White",0.989042673,"High","Central",1.14640760421753,1,1.14012682214698,"White","Democratic","Volusia",26,"Florida","September","Florida September",1,1,1
"Unfavorable","Unfavorable","[DO NOT READ] Don't know/No opinion","Gary Johnson, the Libertarian","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Male","Bachelors' degree","No",NA,"Caucasian/White",NA,"Caucasian/White",0.919575502,"High","Bay Area",0.959406435489655,1,0.920826545013542,"White","Republican","Pinellas",27,"Florida","September","Florida September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Male","Bachelors' degree","No",NA,"[DO NOT READ] Refused",NA,"[DO NOT READ] Refused",0.747800898,"Middle","Southeast",0.790951013565063,1,0.691212445891514,"White","Democratic","Broward",30,"Florida","September","Florida September",1,0,1
"Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Marco Rubio, the Republican",NA,"Very likely","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Female","Bachelors' degree","Yes","Puerto Rican","Caucasian/White",NA,"Hispanic/Latino",0.239143934,"Low","North/Panhandle",1.13480710983276,1,0.70309467320467,"Hispanic","Other","Osceola",42,"Florida","September","Florida September",0,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Patrick Murphy, the Democrat",NA,"Very likely","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Male","High school","No",NA,"African American/Black",NA,"African American/Black",0.793241859,"Middle","Southeast",0.821564912796021,1,0.736632296166537,"Black","Democratic","Broward",62,"Florida","September","Florida September",1,0,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat",NA,"Very likely","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Male","Graduate or Professional degree","Yes","Other (Specify)","[DO NOT READ] Other/Something else (specify)",NA,"Hispanic/Latino",0.950764522,"High","Central",0.902443945407867,1,0.880227815897686,"Hispanic","Democratic","Orange",54,"Florida","September","Florida September",1,0,1
"Favorable","[DO NOT READ] Don't know/No opinion","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline only","Female","Some college or trade school","Yes","Cuban","[DO NOT READ] Other/Something else (specify)",NA,"Hispanic/Latino",0.759246868,"Middle","Southeast",0.789450407028198,1,0.694419078002841,"Hispanic","Other","Miami-Dade",64,"Florida","September","Florida September",1,0,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","[DO NOT READ] Don't know/No opinion",NA,"Almost certain","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Female","Grade school","No",NA,"Caucasian/White",NA,"Caucasian/White",0.913783584,"High","Central",1.31370210647583,1,1.25707076281983,"White","Other","Indian River",48,"Florida","September","Florida September",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat",NA,"Almost certain","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Female","High school","Yes","Cuban","Caucasian/White",NA,"Hispanic/Latino",0.362244762,"Low","Southeast",1.35016119480133,1,0.919625007736887,"Hispanic","Democratic","Palm Beach",69,"Florida","September","Florida September",1,0,0
"Unfavorable","[DO NOT READ] Don't know/No opinion","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Male","Some college or trade school","No",NA,"Caucasian/White",NA,"Caucasian/White",0.985633256,"High","Southwest",0.969042837619781,1,0.962081842433223,"White","Republican","Lee",95,"Florida","September","Florida September",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat",NA,"Almost certain","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Male","Some college or trade school","No",NA,"African American/Black",NA,"African American/Black",0.934702699,"High","Southeast",1.11671757698059,1,1.0802582556609,"Black","Democratic","Miami-Dade",34,"Florida","September","Florida September",1,1,1
"[DO NOT READ] Don't know/No opinion","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","[DO NOT READ] Won't vote",NA,"Not at all likely","Three","Independent (No party)","Cell","Cell Phone only","Male","High school","No",NA,"Caucasian/White",NA,"Caucasian/White",0.256212977,"Low","Bay Area",0.900560617446899,0,0.115367658832794,"Other","Other","Pinellas",61,"Florida","September","Florida September",0,0,0
"Unfavorable","Unfavorable","Hillary Clinton, the Democrat","[DO NOT READ] Won't vote","[DO NOT READ] Don't know/No opinion",NA,"Not very likely","Five","Democrat","Cell","Cell Phone only","Male","Some college or trade school","Yes","Cuban","Caucasian/White",NA,"Hispanic/Latino",0.242996986,"Low","Bay Area",0.938255310058594,0,0.113996606221367,"Other","Democratic","Hillsborough",35,"Florida","September","Florida September",0,0,0
"Unfavorable","Favorable","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion",NA,"Very likely","Eight","Democrat","Landline","Landline and Cell Phone","Male","Grade school","No",NA,"Caucasian/White",NA,"Caucasian/White",0.801579888,"Middle","North/Panhandle",0.628717601299286,0,0.251983692216555,"Black","Democratic","Duval",62,"Florida","September","Florida September",1,0,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Marco Rubio, the Republican",NA,"Not very likely","Two","Democrat","Cell","Cell Phone only","Female","High school","No",NA,"Caucasian/White",NA,"Caucasian/White",0.19801826,"Low","Central",1.90984618663788,0,0.189092209372834,"White","Other","Volusia",83,"Florida","September","Florida September",0,0,0
"Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat",NA,"Almost certain","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Male","Graduate or Professional degree","No",NA,"African American/Black",NA,"African American/Black",0.982606617,"High","North/Panhandle",0.854590356349945,1,0.847158247234599,"Black","Democratic","Alachua",30,"Florida","September","Florida September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican",NA,"Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Male","Some college or trade school","No",NA,"Caucasian/White",NA,"Caucasian/White",0.911902618,"High","Central",1.0957258939743,1,1.04746060264993,"White","Other","Brevard",64,"Florida","September","Florida September",1,1,1
